stock_id,name,template,is_current,is_new_best,n_trades,win_rate,pf,max_dd,im_cagr,fill_rate,expectancy,score
2360,致茂,donchian_breakout,False,False,40,0.45,1.839,-0.3716,0.1915,0.952,0.0273,6.828
2360,致茂,trend_pullback,False,False,5,0.4,0.69,-0.0847,-0.1638,0.417,-0.0074,
2360,致茂,momentum_hold,False,True,10,0.5,5.387,-0.1865,0.6365,1.0,0.1606,12.917
2360,致茂,volume_breakout,False,False,50,0.3,0.639,-0.4254,-0.2834,0.962,-0.0115,
2360,致茂,bollinger_squeeze,False,False,14,0.4286,1.695,-0.1159,0.1901,1.0,0.0215,4.589
2376,技嘉,low_vol_pullback,False,False,33,0.6667,1.681,-0.0475,0.4769,0.917,0.0214,5.929
2376,技嘉,mean_reversion,False,False,12,0.5,1.134,-0.0352,0.0463,1.0,0.0032,2.908
2376,技嘉,donchian_breakout,False,False,27,0.3333,0.868,-0.09,-0.0654,1.0,-0.004,
2376,技嘉,trend_pullback,False,False,19,0.3158,0.328,-0.0469,-0.6459,0.594,-0.0157,
2376,技嘉,momentum_hold,False,True,9,0.4444,16.663,-0.0612,1.0011,0.833,0.2597,38.368
2376,技嘉,volume_breakout,False,False,55,0.3455,1.779,-0.0852,0.2416,0.966,0.018,7.16
2376,技嘉,bollinger_squeeze,False,False,15,0.4,4.166,-0.0794,0.6007,1.0,0.1298,11.551
2383,台光電,low_vol_pullback,False,True,9,0.8889,7.984,-0.0122,2.7825,0.9,0.0363,18.385
2383,台光電,mean_reversion,False,False,18,0.6111,3.657,-0.0264,2.8829,0.9,0.0454,10.769
2383,台光電,donchian_breakout,False,False,32,0.4375,2.356,-0.0637,0.3353,0.971,0.0512,8.239
2383,台光電,trend_pullback,False,False,1,0.0,0.0,-0.0022,,0.056,-0.0145,
2383,台光電,momentum_hold,False,False,14,0.5714,2.577,-0.0826,0.3545,0.833,0.0655,6.979
2383,台光電,volume_breakout,False,False,85,0.3529,2.047,-0.0702,0.4426,1.0,0.0276,9.116
2383,台光電,bollinger_squeeze,False,False,12,0.4167,4.231,-0.0343,0.893,0.923,0.0553,10.853
2454,聯發科,low_vol_pullback,False,False,17,0.5882,1.232,-0.0925,0.0585,1.0,0.01,3.562
2454,聯發科,mean_reversion,True,False,14,0.5,1.146,-0.1298,0.0185,1.0,0.0086,3.103
2454,聯發科,donchian_breakout,False,True,29,0.4828,1.278,-0.1036,0.0436,0.938,0.0072,4.348
2454,聯發科,trend_pullback,False,False,6,0.1667,0.223,-0.0635,-0.5424,0.3,-0.0259,
2454,聯發科,momentum_hold,False,False,13,0.1538,0.945,-0.1437,-0.0284,0.542,-0.0007,
2454,聯發科,volume_breakout,False,False,29,0.2759,0.997,-0.1649,-0.0525,1.0,0.0016,
2454,聯發科,bollinger_squeeze,False,False,13,0.3846,0.336,-0.0955,-0.2704,1.0,-0.0252,
2615,萬海,low_vol_pullback,False,False,14,0.3571,0.473,-0.0827,-0.3299,0.875,-0.027,
2615,萬海,mean_reversion,False,False,13,0.6154,1.44,-0.0454,0.3046,1.0,0.0125,3.8
2615,萬海,donchian_breakout,False,False,22,0.3636,2.618,-0.0844,0.5732,1.0,0.0675,8.21
2615,萬海,trend_pullback,False,False,12,0.3333,4.666,-0.0291,2.3975,0.545,0.0892,11.968
2615,萬海,momentum_hold,False,False,14,0.2857,1.412,-0.1183,0.0131,0.667,0.0262,3.825
2615,萬海,volume_breakout,True,False,34,0.4118,4.226,-0.0852,1.7198,1.0,0.0895,15.026
2615,萬海,bollinger_squeeze,False,True,14,0.4286,9.967,-0.0412,3.4493,1.0,0.1409,26.991
2881,富邦金,low_vol_pullback,False,False,17,0.4118,1.788,-0.0166,0.1714,0.895,0.0105,5.167
2881,富邦金,mean_reversion,True,False,23,0.4783,2.064,-0.0213,0.2258,0.92,0.0227,6.561
2881,富邦金,donchian_breakout,False,False,46,0.3696,1.132,-0.0568,0.0063,0.958,0.0035,4.357
2881,富邦金,trend_pullback,False,False,10,0.5,2.449,-0.0153,0.2726,0.476,0.0185,5.873
2881,富邦金,momentum_hold,False,True,18,0.2222,2.488,-0.0496,0.2632,0.667,0.0288,7.324
2881,富邦金,volume_breakout,False,False,32,0.3438,1.084,-0.0539,-0.013,1.0,0.002,3.789
2881,富邦金,bollinger_squeeze,False,False,29,0.3448,1.141,-0.0606,0.0073,0.935,0.0033,3.881
2882,國泰金,low_vol_pullback,False,True,16,0.6875,3.818,-0.0303,0.2354,0.895,0.028,10.816
2882,國泰金,mean_reversion,True,False,15,0.4667,1.465,-0.0186,0.1168,0.833,0.0089,4.063
2882,國泰金,donchian_breakout,False,False,36,0.3889,1.55,-0.0544,0.1448,0.973,0.0118,5.598
2882,國泰金,trend_pullback,False,False,7,0.2857,2.152,-0.0243,0.2493,0.583,0.025,4.475
2882,國泰金,momentum_hold,False,False,21,0.2381,2.681,-0.0408,0.1145,0.917,0.0414,8.288
2882,國泰金,volume_breakout,False,False,66,0.3182,1.109,-0.0638,0.0127,0.985,0.0023,4.665
2882,國泰金,bollinger_squeeze,False,False,23,0.4783,1.949,-0.0176,0.2511,1.0,0.01,6.193
2883,開發金,low_vol_pullback,False,False,11,0.3636,1.292,-0.0305,0.0898,0.917,0.0055,3.211
2883,開發金,mean_reversion,False,False,25,0.4,1.026,-0.0639,-0.0134,0.929,0.0008,3.342
2883,開發金,donchian_breakout,False,False,31,0.4516,2.585,-0.038,0.3758,1.0,0.0239,8.96
2883,開發金,trend_pullback,True,False,23,0.4348,1.396,-0.0289,0.0816,0.622,0.0095,4.438
2883,開發金,momentum_hold,False,True,11,0.4545,6.712,-0.0523,0.2174,0.8,0.1119,16.677
2883,開發金,volume_breakout,False,False,38,0.4474,2.049,-0.0388,0.2474,1.0,0.0198,7.505
2883,開發金,bollinger_squeeze,False,False,8,0.5,5.11,-0.016,0.4123,0.889,0.0434,11.228
2885,元大金,low_vol_pullback,False,False,16,0.5,1.901,-0.038,0.2965,1.0,0.0136,5.386
2885,元大金,mean_reversion,False,False,12,0.3333,1.171,-0.0284,0.0542,0.857,0.0033,3.005
2885,元大金,donchian_breakout,False,False,45,0.4222,0.912,-0.102,-0.0242,0.979,-0.0019,
2885,元大金,trend_pullback,False,False,4,0.5,1.491,-0.0141,0.0638,0.4,0.0075,2.4
2885,元大金,momentum_hold,False,True,11,0.3636,2.503,-0.0701,0.0769,0.857,0.0608,6.219
2885,元大金,volume_breakout,False,False,75,0.2667,0.559,-0.1035,-0.1734,0.927,-0.0085,
